WWGI/SYR_RQ_NO_SRC,Regulatory Quality; Number of Sources - Syrian Arab Republic
WWGI/TCD_CC_EST,Control of Corruption; Estimate - Chad
WWGI/SYR_VA_PER_RNK,Voice and Accountability; Percentile Rank - Syrian Arab Republic
WWGI/SYR_RL_EST,Rule of Law; Estimate - Syrian Arab Republic
WWGI/SYR_VA_STD_ERR,Voice and Accountability; Standard Error - Syrian Arab Republic
WWGI/TCD_CC_PER_RNK,Control of Corruption; Percentile Rank - Chad
WWGI/SYR_RL_NO_SRC,Rule of Law; Number of Sources - Syrian Arab Republic
WWGI/TCD_CC_NO_SRC,Control of Corruption; Number of Sources - Chad
WWGI/TCD_CC_STD_ERR,Control of Corruption; Standard Error - Chad
WWGI/TCD_GE_NO_SRC,Government Effectiveness; Number of Sources - Chad
WWGI/TCD_GE_EST,Government Effectiveness; Estimate - Chad
WWGI/TCD_GE_PER_RNK,Government Effectiveness; Percentile Rank - Chad
WWGI/TCD_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Chad
WWGI/TCD_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Chad
WWGI/TCD_GE_STD_ERR,Government Effectiveness; Standard Error - Chad
WWGI/TCD_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Chad
WWGI/TCD_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Chad
WWGI/TCD_RQ_NO_SRC,Regulatory Quality; Number of Sources - Chad
WWGI/TCD_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Chad
WWGI/TCD_RQ_EST,Regulatory Quality; Estimate - Chad
WWGI/TCD_RL_PER_RNK,Rule of Law; Percentile Rank - Chad
WWGI/TCD_RL_EST,Rule of Law; Estimate - Chad
WWGI/TCD_RQ_STD_ERR,Regulatory Quality; Standard Error - Chad
WWGI/TCD_RL_NO_SRC,Rule of Law; Number of Sources - Chad
WWGI/TCD_VA_EST,Voice and Accountability; Estimate - Chad
WWGI/TCD_RL_STD_ERR,Rule of Law; Standard Error - Chad
WWGI/TCD_VA_PER_RNK,Voice and Accountability; Percentile Rank - Chad
WWGI/TGO_CC_EST,Control of Corruption; Estimate - Togo
WWGI/TCD_VA_STD_ERR,Voice and Accountability; Standard Error - Chad
WWGI/TGO_CC_NO_SRC,Control of Corruption; Number of Sources - Togo
WWGI/TGO_CC_STD_ERR,Control of Corruption; Standard Error - Togo
WWGI/TCD_VA_NO_SRC,Voice and Accountability; Number of Sources - Chad
WWGI/TGO_GE_EST,Government Effectiveness; Estimate - Togo
WWGI/TGO_CC_PER_RNK,Control of Corruption; Percentile Rank - Togo
WWGI/TGO_GE_PER_RNK,Government Effectiveness; Percentile Rank - Togo
WWGI/TGO_GE_NO_SRC,Government Effectiveness; Number of Sources - Togo
WWGI/TGO_GE_STD_ERR,Government Effectiveness; Standard Error - Togo
WWGI/TGO_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Togo
WWGI/TGO_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Togo
WWGI/TGO_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Togo
WWGI/TGO_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Togo
WWGI/TGO_RQ_NO_SRC,Regulatory Quality; Number of Sources - Togo
WWGI/TGO_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Togo
WWGI/TGO_RQ_EST,Regulatory Quality; Estimate - Togo
WWGI/TGO_RQ_STD_ERR,Regulatory Quality; Standard Error - Togo
WWGI/TGO_RL_EST,Rule of Law; Estimate - Togo
WWGI/TGO_RL_PER_RNK,Rule of Law; Percentile Rank - Togo
WWGI/TGO_RL_NO_SRC,Rule of Law; Number of Sources - Togo
WWGI/TGO_RL_STD_ERR,Rule of Law; Standard Error - Togo
WWGI/TGO_VA_EST,Voice and Accountability; Estimate - Togo
WWGI/TGO_VA_PER_RNK,Voice and Accountability; Percentile Rank - Togo
WWGI/TGO_VA_NO_SRC,Voice and Accountability; Number of Sources - Togo
WWGI/TGO_VA_STD_ERR,Voice and Accountability; Standard Error - Togo
WWGI/THA_CC_EST,Control of Corruption; Estimate - Thailand
WWGI/THA_CC_NO_SRC,Control of Corruption; Number of Sources - Thailand
WWGI/THA_CC_STD_ERR,Control of Corruption; Standard Error - Thailand
WWGI/THA_GE_PER_RNK,Government Effectiveness; Percentile Rank - Thailand
WWGI/THA_GE_NO_SRC,Government Effectiveness; Number of Sources - Thailand
WWGI/THA_GE_STD_ERR,Government Effectiveness; Standard Error - Thailand
WWGI/THA_GE_EST,Government Effectiveness; Estimate - Thailand
WWGI/THA_CC_PER_RNK,Control of Corruption; Percentile Rank - Thailand
WWGI/THA_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Thailand
WWGI/THA_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Thailand
WWGI/THA_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Thailand
WWGI/THA_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Thailand
WWGI/THA_RQ_NO_SRC,Regulatory Quality; Number of Sources - Thailand
WWGI/THA_RQ_EST,Regulatory Quality; Estimate - Thailand
WWGI/THA_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Thailand
WWGI/THA_RL_EST,Rule of Law; Estimate - Thailand
WWGI/THA_RL_NO_SRC,Rule of Law; Number of Sources - Thailand
WWGI/THA_RQ_STD_ERR,Regulatory Quality; Standard Error - Thailand
WWGI/THA_RL_PER_RNK,Rule of Law; Percentile Rank - Thailand
WWGI/THA_RL_STD_ERR,Rule of Law; Standard Error - Thailand
WWGI/THA_VA_PER_RNK,Voice and Accountability; Percentile Rank - Thailand
WWGI/THA_VA_NO_SRC,Voice and Accountability; Number of Sources - Thailand
WWGI/THA_VA_STD_ERR,Voice and Accountability; Standard Error - Thailand
WWGI/TJK_CC_EST,Control of Corruption; Estimate - Tajikistan
WWGI/TJK_CC_NO_SRC,Control of Corruption; Number of Sources - Tajikistan
WWGI/THA_VA_EST,Voice and Accountability; Estimate - Thailand
WWGI/TJK_CC_STD_ERR,Control of Corruption; Standard Error - Tajikistan
WWGI/TJK_GE_EST,Government Effectiveness; Estimate - Tajikistan
WWGI/TJK_GE_NO_SRC,Government Effectiveness; Number of Sources - Tajikistan
WWGI/TJK_GE_PER_RNK,Government Effectiveness; Percentile Rank - Tajikistan
WWGI/TJK_CC_PER_RNK,Control of Corruption; Percentile Rank - Tajikistan
WWGI/TJK_GE_STD_ERR,Government Effectiveness; Standard Error - Tajikistan
WWGI/TJK_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Tajikistan
WWGI/TJK_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Tajikistan
WWGI/TJK_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Tajikistan
WWGI/TJK_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Tajikistan
WWGI/TJK_RQ_NO_SRC,Regulatory Quality; Number of Sources - Tajikistan
WWGI/TJK_RQ_EST,Regulatory Quality; Estimate - Tajikistan
WWGI/TJK_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Tajikistan
WWGI/TJK_RQ_STD_ERR,Regulatory Quality; Standard Error - Tajikistan
WWGI/TJK_RL_EST,Rule of Law; Estimate - Tajikistan
WWGI/TJK_RL_NO_SRC,Rule of Law; Number of Sources - Tajikistan
WWGI/TJK_RL_STD_ERR,Rule of Law; Standard Error - Tajikistan
WWGI/TJK_RL_PER_RNK,Rule of Law; Percentile Rank - Tajikistan
WWGI/TJK_VA_PER_RNK,Voice and Accountability; Percentile Rank - Tajikistan
WWGI/TJK_VA_EST,Voice and Accountability; Estimate - Tajikistan
WWGI/TJK_VA_NO_SRC,Voice and Accountability; Number of Sources - Tajikistan
WWGI/TJK_VA_STD_ERR,Voice and Accountability; Standard Error - Tajikistan
WWGI/TKM_CC_NO_SRC,Control of Corruption; Number of Sources - Turkmenistan
WWGI/TKM_CC_STD_ERR,Control of Corruption; Standard Error - Turkmenistan
WWGI/TKM_CC_EST,Control of Corruption; Estimate - Turkmenistan
WWGI/TKM_GE_EST,Government Effectiveness; Estimate - Turkmenistan
WWGI/TKM_CC_PER_RNK,Control of Corruption; Percentile Rank - Turkmenistan
WWGI/TKM_GE_PER_RNK,Government Effectiveness; Percentile Rank - Turkmenistan
WWGI/TKM_GE_STD_ERR,Government Effectiveness; Standard Error - Turkmenistan
WWGI/TKM_GE_NO_SRC,Government Effectiveness; Number of Sources - Turkmenistan
WWGI/TKM_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Turkmenistan
WWGI/TKM_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Turkmenistan
WWGI/TKM_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Turkmenistan
WWGI/TKM_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Turkmenistan
WWGI/TKM_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Turkmenistan
WWGI/TKM_RQ_EST,Regulatory Quality; Estimate - Turkmenistan
WWGI/TKM_RQ_NO_SRC,Regulatory Quality; Number of Sources - Turkmenistan
WWGI/TKM_RQ_STD_ERR,Regulatory Quality; Standard Error - Turkmenistan
WWGI/TKM_RL_EST,Rule of Law; Estimate - Turkmenistan
WWGI/TKM_RL_NO_SRC,Rule of Law; Number of Sources - Turkmenistan
WWGI/TKM_RL_PER_RNK,Rule of Law; Percentile Rank - Turkmenistan
WWGI/TKM_RL_STD_ERR,Rule of Law; Standard Error - Turkmenistan
WWGI/TKM_VA_EST,Voice and Accountability; Estimate - Turkmenistan
WWGI/TKM_VA_PER_RNK,Voice and Accountability; Percentile Rank - Turkmenistan
WWGI/TKM_VA_NO_SRC,Voice and Accountability; Number of Sources - Turkmenistan
WWGI/TLS_CC_EST,Control of Corruption; Estimate - Timor-Leste
WWGI/TLS_CC_STD_ERR,Control of Corruption; Standard Error - Timor-Leste
WWGI/TLS_CC_NO_SRC,Control of Corruption; Number of Sources - Timor-Leste
WWGI/TLS_GE_EST,Government Effectiveness; Estimate - Timor-Leste
WWGI/TKM_VA_STD_ERR,Voice and Accountability; Standard Error - Turkmenistan
WWGI/TLS_GE_PER_RNK,Government Effectiveness; Percentile Rank - Timor-Leste
WWGI/TLS_GE_NO_SRC,Government Effectiveness; Number of Sources - Timor-Leste
WWGI/TLS_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Timor-Leste
WWGI/TLS_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Timor-Leste
WWGI/TLS_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Timor-Leste
WWGI/TLS_CC_PER_RNK,Control of Corruption; Percentile Rank - Timor-Leste
WWGI/TLS_GE_STD_ERR,Government Effectiveness; Standard Error - Timor-Leste
WWGI/TLS_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Timor-Leste
WWGI/TLS_RQ_NO_SRC,Regulatory Quality; Number of Sources - Timor-Leste
WWGI/TLS_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Timor-Leste
WWGI/TLS_RQ_STD_ERR,Regulatory Quality; Standard Error - Timor-Leste
WWGI/TLS_RL_EST,Rule of Law; Estimate - Timor-Leste
WWGI/TLS_RQ_EST,Regulatory Quality; Estimate - Timor-Leste
WWGI/TLS_RL_NO_SRC,Rule of Law; Number of Sources - Timor-Leste
WWGI/TLS_RL_STD_ERR,Rule of Law; Standard Error - Timor-Leste
WWGI/TLS_RL_PER_RNK,Rule of Law; Percentile Rank - Timor-Leste
WWGI/TLS_VA_NO_SRC,Voice and Accountability; Number of Sources - Timor-Leste
WWGI/TLS_VA_EST,Voice and Accountability; Estimate - Timor-Leste
WWGI/TON_CC_NO_SRC,Control of Corruption; Number of Sources - Tonga
WWGI/TLS_VA_STD_ERR,Voice and Accountability; Standard Error - Timor-Leste
WWGI/TLS_VA_PER_RNK,Voice and Accountability; Percentile Rank - Timor-Leste
WWGI/TON_CC_EST,Control of Corruption; Estimate - Tonga
WWGI/TON_GE_EST,Government Effectiveness; Estimate - Tonga
WWGI/TON_CC_PER_RNK,Control of Corruption; Percentile Rank - Tonga
WWGI/TON_CC_STD_ERR,Control of Corruption; Standard Error - Tonga
WWGI/TON_GE_NO_SRC,Government Effectiveness; Number of Sources - Tonga
WWGI/TON_GE_PER_RNK,Government Effectiveness; Percentile Rank - Tonga
WWGI/TON_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Tonga
WWGI/TON_GE_STD_ERR,Government Effectiveness; Standard Error - Tonga
WWGI/TON_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Tonga
WWGI/TON_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Tonga
WWGI/TON_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Tonga
WWGI/TON_RQ_EST,Regulatory Quality; Estimate - Tonga
WWGI/TON_RQ_NO_SRC,Regulatory Quality; Number of Sources - Tonga
WWGI/TON_RL_NO_SRC,Rule of Law; Number of Sources - Tonga
WWGI/TON_RQ_STD_ERR,Regulatory Quality; Standard Error - Tonga
WWGI/TON_RL_EST,Rule of Law; Estimate - Tonga
WWGI/TON_RL_PER_RNK,Rule of Law; Percentile Rank - Tonga
WWGI/TON_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Tonga
WWGI/TON_VA_EST,Voice and Accountability; Estimate - Tonga
WWGI/TON_RL_STD_ERR,Rule of Law; Standard Error - Tonga
WWGI/TON_VA_NO_SRC,Voice and Accountability; Number of Sources - Tonga
WWGI/TON_VA_PER_RNK,Voice and Accountability; Percentile Rank - Tonga
WWGI/TON_VA_STD_ERR,Voice and Accountability; Standard Error - Tonga
WWGI/TTO_CC_EST,Control of Corruption; Estimate - Trinidad and Tobago
WWGI/TTO_CC_STD_ERR,Control of Corruption; Standard Error - Trinidad and Tobago
WWGI/TTO_CC_PER_RNK,Control of Corruption; Percentile Rank - Trinidad and Tobago
WWGI/TTO_GE_EST,Government Effectiveness; Estimate - Trinidad and Tobago
WWGI/TTO_CC_NO_SRC,Control of Corruption; Number of Sources - Trinidad and Tobago
WWGI/TTO_GE_PER_RNK,Government Effectiveness; Percentile Rank - Trinidad and Tobago
WWGI/TTO_GE_STD_ERR,Government Effectiveness; Standard Error - Trinidad and Tobago
WWGI/TTO_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Trinidad and Tobago
WWGI/TTO_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Trinidad and Tobago
WWGI/TTO_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Trinidad and Tobago
WWGI/TTO_GE_NO_SRC,Government Effectiveness; Number of Sources - Trinidad and Tobago
WWGI/TTO_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Trinidad and Tobago
WWGI/TTO_RQ_NO_SRC,Regulatory Quality; Number of Sources - Trinidad and Tobago
WWGI/TTO_RQ_EST,Regulatory Quality; Estimate - Trinidad and Tobago
WWGI/TTO_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Trinidad and Tobago
WWGI/TTO_RQ_STD_ERR,Regulatory Quality; Standard Error - Trinidad and Tobago
WWGI/TTO_RL_PER_RNK,Rule of Law; Percentile Rank - Trinidad and Tobago
WWGI/TTO_RL_EST,Rule of Law; Estimate - Trinidad and Tobago
WWGI/TTO_RL_NO_SRC,Rule of Law; Number of Sources - Trinidad and Tobago
WWGI/TTO_RL_STD_ERR,Rule of Law; Standard Error - Trinidad and Tobago
WWGI/TTO_VA_EST,Voice and Accountability; Estimate - Trinidad and Tobago
WWGI/TTO_VA_STD_ERR,Voice and Accountability; Standard Error - Trinidad and Tobago
WWGI/TTO_VA_NO_SRC,Voice and Accountability; Number of Sources - Trinidad and Tobago
WWGI/TTO_VA_PER_RNK,Voice and Accountability; Percentile Rank - Trinidad and Tobago
WWGI/TUN_CC_EST,Control of Corruption; Estimate - Tunisia
WWGI/TUN_CC_NO_SRC,Control of Corruption; Number of Sources - Tunisia
WWGI/TUN_CC_PER_RNK,Control of Corruption; Percentile Rank - Tunisia
WWGI/TUN_CC_STD_ERR,Control of Corruption; Standard Error - Tunisia
WWGI/TUN_GE_STD_ERR,Government Effectiveness; Standard Error - Tunisia
WWGI/TUN_GE_EST,Government Effectiveness; Estimate - Tunisia
WWGI/TUN_GE_PER_RNK,Government Effectiveness; Percentile Rank - Tunisia
WWGI/TUN_GE_NO_SRC,Government Effectiveness; Number of Sources - Tunisia
WWGI/TUN_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Tunisia
WWGI/TUN_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Tunisia
WWGI/TUN_RQ_NO_SRC,Regulatory Quality; Number of Sources - Tunisia
WWGI/TUN_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Tunisia
WWGI/TUN_RQ_EST,Regulatory Quality; Estimate - Tunisia
WWGI/TUN_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Tunisia
WWGI/TUN_RL_NO_SRC,Rule of Law; Number of Sources - Tunisia
WWGI/TUN_RQ_STD_ERR,Regulatory Quality; Standard Error - Tunisia
WWGI/TUN_RL_EST,Rule of Law; Estimate - Tunisia
WWGI/TUN_RL_PER_RNK,Rule of Law; Percentile Rank - Tunisia
WWGI/TUN_RL_STD_ERR,Rule of Law; Standard Error - Tunisia
WWGI/TUN_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Tunisia
WWGI/TUN_VA_EST,Voice and Accountability; Estimate - Tunisia
WWGI/TUR_CC_NO_SRC,Control of Corruption; Number of Sources - Turkey
WWGI/TUN_VA_NO_SRC,Voice and Accountability; Number of Sources - Tunisia
WWGI/TUN_VA_STD_ERR,Voice and Accountability; Standard Error - Tunisia
WWGI/TUN_VA_PER_RNK,Voice and Accountability; Percentile Rank - Tunisia
WWGI/TUR_CC_EST,Control of Corruption; Estimate - Turkey
WWGI/TUR_CC_PER_RNK,Control of Corruption; Percentile Rank - Turkey
WWGI/TUR_CC_STD_ERR,Control of Corruption; Standard Error - Turkey
WWGI/TUR_GE_EST,Government Effectiveness; Estimate - Turkey
WWGI/TUR_GE_PER_RNK,Government Effectiveness; Percentile Rank - Turkey
WWGI/TUR_GE_NO_SRC,Government Effectiveness; Number of Sources - Turkey
WWGI/TUR_GE_STD_ERR,Government Effectiveness; Standard Error - Turkey
WWGI/TUR_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Turkey
WWGI/TUR_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Turkey
WWGI/TUR_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Turkey
WWGI/TUR_RQ_EST,Regulatory Quality; Estimate - Turkey
WWGI/TUR_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Turkey
WWGI/TUR_RQ_STD_ERR,Regulatory Quality; Standard Error - Turkey
WWGI/TUR_RQ_NO_SRC,Regulatory Quality; Number of Sources - Turkey
WWGI/TUR_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Turkey
WWGI/TUR_RL_EST,Rule of Law; Estimate - Turkey
WWGI/TUR_RL_NO_SRC,Rule of Law; Number of Sources - Turkey
WWGI/TUR_RL_PER_RNK,Rule of Law; Percentile Rank - Turkey
WWGI/TUR_VA_NO_SRC,Voice and Accountability; Number of Sources - Turkey
WWGI/TUR_VA_EST,Voice and Accountability; Estimate - Turkey
WWGI/TUR_RL_STD_ERR,Rule of Law; Standard Error - Turkey
WWGI/TUV_CC_EST,Control of Corruption; Estimate - Tuvalu
WWGI/TUR_VA_PER_RNK,Voice and Accountability; Percentile Rank - Turkey
WWGI/TUV_CC_PER_RNK,Control of Corruption; Percentile Rank - Tuvalu
WWGI/TUV_CC_NO_SRC,Control of Corruption; Number of Sources - Tuvalu
WWGI/TUV_GE_EST,Government Effectiveness; Estimate - Tuvalu
WWGI/TUV_GE_NO_SRC,Government Effectiveness; Number of Sources - Tuvalu
WWGI/TUV_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Tuvalu
WWGI/TUV_CC_STD_ERR,Control of Corruption; Standard Error - Tuvalu
WWGI/TUV_GE_PER_RNK,Government Effectiveness; Percentile Rank - Tuvalu
WWGI/TUV_GE_STD_ERR,Government Effectiveness; Standard Error - Tuvalu
WWGI/TUV_RQ_EST,Regulatory Quality; Estimate - Tuvalu
WWGI/TUV_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Tuvalu
WWGI/TUV_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Tuvalu
WWGI/TUV_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Tuvalu
WWGI/TUV_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Tuvalu
WWGI/TUV_RQ_NO_SRC,Regulatory Quality; Number of Sources - Tuvalu
WWGI/TUV_RQ_STD_ERR,Regulatory Quality; Standard Error - Tuvalu
WWGI/TUV_RL_EST,Rule of Law; Estimate - Tuvalu
WWGI/TUV_RL_NO_SRC,Rule of Law; Number of Sources - Tuvalu
WWGI/TUV_RL_PER_RNK,Rule of Law; Percentile Rank - Tuvalu
WWGI/TUV_RL_STD_ERR,Rule of Law; Standard Error - Tuvalu
WWGI/TUV_VA_NO_SRC,Voice and Accountability; Number of Sources - Tuvalu
WWGI/TUV_VA_PER_RNK,Voice and Accountability; Percentile Rank - Tuvalu
WWGI/TUV_VA_EST,Voice and Accountability; Estimate - Tuvalu
WWGI/TUV_VA_STD_ERR,Voice and Accountability; Standard Error - Tuvalu
WWGI/TZA_CC_EST,Control of Corruption; Estimate - Tanzania
WWGI/TUR_VA_STD_ERR,Voice and Accountability; Standard Error - Turkey
WWGI/TZA_CC_STD_ERR,Control of Corruption; Standard Error - Tanzania
WWGI/TZA_CC_PER_RNK,Control of Corruption; Percentile Rank - Tanzania
WWGI/TZA_GE_NO_SRC,Government Effectiveness; Number of Sources - Tanzania
WWGI/TZA_CC_NO_SRC,Control of Corruption; Number of Sources - Tanzania
WWGI/TZA_GE_EST,Government Effectiveness; Estimate - Tanzania
WWGI/TZA_GE_PER_RNK,Government Effectiveness; Percentile Rank - Tanzania
WWGI/TZA_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Tanzania
WWGI/TZA_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Tanzania
WWGI/TZA_GE_STD_ERR,Government Effectiveness; Standard Error - Tanzania
WWGI/TZA_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Tanzania
WWGI/TZA_RQ_EST,Regulatory Quality; Estimate - Tanzania
WWGI/TZA_RQ_NO_SRC,Regulatory Quality; Number of Sources - Tanzania
WWGI/TZA_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Tanzania
WWGI/TZA_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Tanzania
WWGI/TZA_RQ_STD_ERR,Regulatory Quality; Standard Error - Tanzania
WWGI/TZA_RL_NO_SRC,Rule of Law; Number of Sources - Tanzania
WWGI/TZA_RL_PER_RNK,Rule of Law; Percentile Rank - Tanzania
WWGI/TZA_RL_EST,Rule of Law; Estimate - Tanzania
WWGI/TZA_VA_EST,Voice and Accountability; Estimate - Tanzania
WWGI/TZA_VA_NO_SRC,Voice and Accountability; Number of Sources - Tanzania
WWGI/TZA_RL_STD_ERR,Rule of Law; Standard Error - Tanzania
WWGI/TZA_VA_PER_RNK,Voice and Accountability; Percentile Rank - Tanzania
WWGI/UGA_CC_EST,Control of Corruption; Estimate - Uganda
WWGI/TZA_VA_STD_ERR,Voice and Accountability; Standard Error - Tanzania
WWGI/UGA_CC_NO_SRC,Control of Corruption; Number of Sources - Uganda
WWGI/UGA_GE_EST,Government Effectiveness; Estimate - Uganda
WWGI/UGA_CC_PER_RNK,Control of Corruption; Percentile Rank - Uganda
WWGI/UGA_CC_STD_ERR,Control of Corruption; Standard Error - Uganda
WWGI/UGA_GE_NO_SRC,Government Effectiveness; Number of Sources - Uganda
WWGI/UGA_GE_PER_RNK,Government Effectiveness; Percentile Rank - Uganda
WWGI/UGA_GE_STD_ERR,Government Effectiveness; Standard Error - Uganda
WWGI/UGA_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Uganda
WWGI/UGA_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Uganda
WWGI/UGA_RQ_NO_SRC,Regulatory Quality; Number of Sources - Uganda
WWGI/UGA_RQ_STD_ERR,Regulatory Quality; Standard Error - Uganda
WWGI/UGA_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Uganda
WWGI/UGA_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Uganda
WWGI/UGA_RQ_EST,Regulatory Quality; Estimate - Uganda
WWGI/UGA_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Uganda
WWGI/UGA_RL_EST,Rule of Law; Estimate - Uganda
WWGI/UGA_RL_PER_RNK,Rule of Law; Percentile Rank - Uganda
WWGI/UGA_RL_NO_SRC,Rule of Law; Number of Sources - Uganda
WWGI/UGA_RL_STD_ERR,Rule of Law; Standard Error - Uganda
WWGI/UGA_VA_EST,Voice and Accountability; Estimate - Uganda
WWGI/UGA_VA_STD_ERR,Voice and Accountability; Standard Error - Uganda
WWGI/UGA_VA_NO_SRC,Voice and Accountability; Number of Sources - Uganda
WWGI/UKR_CC_NO_SRC,Control of Corruption; Number of Sources - Ukraine
WWGI/UKR_CC_EST,Control of Corruption; Estimate - Ukraine
WWGI/UGA_VA_PER_RNK,Voice and Accountability; Percentile Rank - Uganda
WWGI/UKR_CC_PER_RNK,Control of Corruption; Percentile Rank - Ukraine
WWGI/UKR_GE_NO_SRC,Government Effectiveness; Number of Sources - Ukraine
WWGI/UKR_CC_STD_ERR,Control of Corruption; Standard Error - Ukraine
WWGI/UKR_GE_PER_RNK,Government Effectiveness; Percentile Rank - Ukraine
WWGI/UKR_GE_EST,Government Effectiveness; Estimate - Ukraine
WWGI/UKR_GE_STD_ERR,Government Effectiveness; Standard Error - Ukraine
WWGI/UKR_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Ukraine
WWGI/UKR_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Ukraine
WWGI/UKR_RQ_EST,Regulatory Quality; Estimate - Ukraine
WWGI/UKR_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Ukraine
WWGI/UKR_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Ukraine
WWGI/UKR_RQ_NO_SRC,Regulatory Quality; Number of Sources - Ukraine
WWGI/UKR_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Ukraine
WWGI/UKR_RL_NO_SRC,Rule of Law; Number of Sources - Ukraine
WWGI/UKR_RQ_STD_ERR,Regulatory Quality; Standard Error - Ukraine
WWGI/UKR_RL_PER_RNK,Rule of Law; Percentile Rank - Ukraine
WWGI/UKR_RL_EST,Rule of Law; Estimate - Ukraine
WWGI/UKR_RL_STD_ERR,Rule of Law; Standard Error - Ukraine
WWGI/UKR_VA_STD_ERR,Voice and Accountability; Standard Error - Ukraine
WWGI/UKR_VA_EST,Voice and Accountability; Estimate - Ukraine
WWGI/URY_CC_EST,Control of Corruption; Estimate - Uruguay
